experiments,stimulus,response,goodness,rt,subj
1,s1_t1_r2,ac,2,3.5398121,E1_BaeYJ
1,s1_t1_r2,ac,3,3.1396459,E1_BaeYJ
1,s1_t1_r2,ac,3,2.7917098,E1_BaeYJ
1,s10_t1_r2,ac,2,3.1115653,E1_BaeYJ
1,s10_t1_r2,ac,2,2.6094732,E1_BaeYJ
1,s10_t1_r2,ac,2,1.0780973,E1_BaeYJ
1,s2_t1_r2,ac,4,3.3792027,E1_BaeYJ
1,s2_t1_r2,ac,3,3.1444858,E1_BaeYJ
1,s2_t1_r2,ac,4,3.3991226,E1_BaeYJ
1,s3_t1_r2,ac,3,9.1008896,E1_BaeYJ
1,s3_t1_r2,ac,1,2.3690966,E1_BaeYJ
1,s3_t1_r2,ac,1,3.3529112,E1_BaeYJ
1,s4_t1_r2,ac,3,3.2347389,E1_BaeYJ
1,s4_t1_r2,ac,3,1.380171,E1_BaeYJ
1,s4_t1_r2,ac,3,1.2306547,E1_BaeYJ
1,s5_t1_r2,ac,2,4.9817834,E1_BaeYJ
1,s5_t1_r2,ac,2,1.5423914,E1_BaeYJ
1,s5_t1_r2,ac,2,2.0610253,E1_BaeYJ
1,s6_t1_r2,ac,1,4.3289904,E1_BaeYJ
1,s6_t1_r2,ac,2,3.4694788,E1_BaeYJ
1,s6_t1_r2,ac,1,2.4689976,E1_BaeYJ
1,s7_t1_r2,ac,2,2.8356332,E1_BaeYJ
1,s7_t1_r2,ac,1,2.7193353,E1_BaeYJ
1,s7_t1_r2,ac,2,2.55997,E1_BaeYJ
1,s8_t1_r2,ac,2,3.3756833,E1_BaeYJ
1,s8_t1_r2,ac,3,2.4102896,E1_BaeYJ
1,s8_t1_r2,ac,2,2.4261096,E1_BaeYJ
1,s9_t1_r2,ac,2,3.1435732,E1_BaeYJ
1,s9_t1_r2,ac,2,2.9082839,E1_BaeYJ
1,s9_t1_r2,ac,2,3.3337493,E1_BaeYJ
1,s1_t1_r2,comp,6,3.7760468,E1_BaeYJ
1,s1_t1_r2,comp,6,3.4988733,E1_BaeYJ
1,s1_t1_r2,comp,5,3.2788079,E1_BaeYJ
1,s10_t1_r2,comp,3,3.6881874,E1_BaeYJ
1,s10_t1_r2,comp,3,3.1376397,E1_BaeYJ
1,s10_t1_r2,comp,3,3.0791954,E1_BaeYJ
1,s2_t1_r2,comp,5,3.6239401,E1_BaeYJ
1,s2_t1_r2,comp,6,3.9918482,E1_BaeYJ
1,s2_t1_r2,comp,6,3.3191817,E1_BaeYJ
1,s3_t1_r2,comp,4,0.312112,E1_BaeYJ
1,s3_t1_r2,comp,3,2.8000256,E1_BaeYJ
1,s3_t1_r2,comp,2,3.2445971,E1_BaeYJ
1,s4_t1_r2,comp,4,0.0713525,E1_BaeYJ
1,s4_t1_r2,comp,4,3.2879999,E1_BaeYJ
1,s4_t1_r2,comp,3,3.8791906,E1_BaeYJ
1,s5_t1_r2,comp,3,10.1667407,E1_BaeYJ
1,s5_t1_r2,comp,3,3.9831434,E1_BaeYJ
1,s5_t1_r2,comp,3,5.0014808,E1_BaeYJ
1,s6_t1_r2,comp,2,16.9672964,E1_BaeYJ
1,s6_t1_r2,comp,2,3.8599142,E1_BaeYJ
1,s6_t1_r2,comp,2,3.6409067,E1_BaeYJ
1,s7_t1_r2,comp,4,7.3356654,E1_BaeYJ
1,s7_t1_r2,comp,3,2.9300908,E1_BaeYJ
1,s7_t1_r2,comp,2,2.840449,E1_BaeYJ
1,s8_t1_r2,comp,3,3.6393966,E1_BaeYJ
1,s8_t1_r2,comp,3,3.4474423,E1_BaeYJ
1,s8_t1_r2,comp,3,3.4239958,E1_BaeYJ
1,s9_t1_r2,comp,4,3.464494,E1_BaeYJ
1,s9_t1_r2,comp,3,3.0714628,E1_BaeYJ
1,s9_t1_r2,comp,3,3.3596483,E1_BaeYJ
1,s1_t1_r2,fl,3,3.991834,E1_BaeYJ
1,s1_t1_r2,fl,4,3.1999542,E1_BaeYJ
1,s1_t1_r2,fl,3,3.1673352,E1_BaeYJ
1,s10_t1_r2,fl,2,2.6592298,E1_BaeYJ
1,s10_t1_r2,fl,2,3.2951535,E1_BaeYJ
1,s10_t1_r2,fl,2,2.7894546,E1_BaeYJ
1,s2_t1_r2,fl,4,3.2396303,E1_BaeYJ
1,s2_t1_r2,fl,4,3.2289046,E1_BaeYJ
1,s2_t1_r2,fl,4,3.6490846,E1_BaeYJ
1,s3_t1_r2,fl,2,2.6190783,E1_BaeYJ
1,s3_t1_r2,fl,2,2.4984793,E1_BaeYJ
1,s3_t1_r2,fl,2,3.190961,E1_BaeYJ
1,s4_t1_r2,fl,3,3.0294594,E1_BaeYJ
1,s4_t1_r2,fl,3,3.4382097,E1_BaeYJ
1,s4_t1_r2,fl,3,3.0097072,E1_BaeYJ
1,s5_t1_r2,fl,3,7.1025751,E1_BaeYJ
1,s5_t1_r2,fl,2,7.031999,E1_BaeYJ
1,s5_t1_r2,fl,2,7.0218686,E1_BaeYJ
1,s6_t1_r2,fl,2,3.5593973,E1_BaeYJ
1,s6_t1_r2,fl,2,3.5098631,E1_BaeYJ
1,s6_t1_r2,fl,2,1.7806906,E1_BaeYJ
1,s7_t1_r2,fl,2,4.8648923,E1_BaeYJ
1,s7_t1_r2,fl,2,2.7794116,E1_BaeYJ
1,s7_t1_r2,fl,2,2.9289617,E1_BaeYJ
1,s8_t1_r2,fl,3,10.957498,E1_BaeYJ
1,s8_t1_r2,fl,4,3.0800479,E1_BaeYJ
1,s8_t1_r2,fl,2,3.1748507,E1_BaeYJ
1,s9_t1_r2,fl,3,2.2798487,E1_BaeYJ
1,s9_t1_r2,fl,3,2.8398724,E1_BaeYJ
1,s9_t1_r2,fl,2,4.2247453,E1_BaeYJ
1,s1_t1_r2,in,5,3.1193985,E1_BaeYJ
1,s1_t1_r2,in,5,3.0803499,E1_BaeYJ
1,s1_t1_r2,in,5,0.8569561,E1_BaeYJ
1,s10_t1_r2,in,3,2.7583778,E1_BaeYJ
1,s10_t1_r2,in,2,2.7099067,E1_BaeYJ
1,s10_t1_r2,in,3,2.8766916,E1_BaeYJ
1,s2_t1_r2,in,3,4.6780772,E1_BaeYJ
1,s2_t1_r2,in,4,3.3700036,E1_BaeYJ
1,s2_t1_r2,in,5,0.299566,E1_BaeYJ
1,s3_t1_r2,in,1,2.4291559,E1_BaeYJ
1,s3_t1_r2,in,2,2.4884446,E1_BaeYJ
1,s3_t1_r2,in,2,2.8038292,E1_BaeYJ
1,s4_t1_r2,in,4,13.6084784,E1_BaeYJ
1,s4_t1_r2,in,4,2.6473343,E1_BaeYJ
1,s4_t1_r2,in,3,1.3803512,E1_BaeYJ
1,s5_t1_r2,in,2,3.2468892,E1_BaeYJ
1,s5_t1_r2,in,2,1.6012469,E1_BaeYJ
1,s5_t1_r2,in,1,2.0818248,E1_BaeYJ
1,s6_t1_r2,in,1,5.1034072,E1_BaeYJ
1,s6_t1_r2,in,1,1.8498746,E1_BaeYJ
1,s6_t1_r2,in,1,1.0233172,E1_BaeYJ
1,s7_t1_r2,in,1,2.7086656,E1_BaeYJ
1,s7_t1_r2,in,2,1.519498,E1_BaeYJ
1,s7_t1_r2,in,2,2.4792784,E1_BaeYJ
1,s8_t1_r2,in,3,3.6395951,E1_BaeYJ
1,s8_t1_r2,in,3,2.7334813,E1_BaeYJ
1,s8_t1_r2,in,3,2.7451223,E1_BaeYJ
1,s9_t1_r2,in,2,2.5790097,E1_BaeYJ
1,s9_t1_r2,in,3,2.5294289,E1_BaeYJ
1,s9_t1_r2,in,2,2.6997043,E1_BaeYJ
1,s1_t1_r2,ac,5,13.6627815,E1_HanSS
1,s1_t1_r2,ac,4,3.4337681,E1_HanSS
1,s1_t1_r2,ac,4,2.2261324,E1_HanSS
1,s10_t1_r2,ac,3,10.6495567,E1_HanSS
1,s10_t1_r2,ac,3,1.3590561,E1_HanSS
1,s10_t1_r2,ac,3,0.615202,E1_HanSS
1,s2_t1_r2,ac,6,4.1241754,E1_HanSS
1,s2_t1_r2,ac,6,3.5479516,E1_HanSS
1,s2_t1_r2,ac,6,3.1545984,E1_HanSS
1,s3_t1_r2,ac,3,3.8805533,E1_HanSS
1,s3_t1_r2,ac,3,0.2063211,E1_HanSS
1,s3_t1_r2,ac,3,1.4582431,E1_HanSS
1,s4_t1_r2,ac,4,1.5346421,E1_HanSS
1,s4_t1_r2,ac,4,0.1900296,E1_HanSS
1,s4_t1_r2,ac,5,-0.061569,E1_HanSS
1,s5_t1_r2,ac,2,2.9853757,E1_HanSS
1,s5_t1_r2,ac,2,3.4348644,E1_HanSS
1,s5_t1_r2,ac,2,1.2374029,E1_HanSS
